dance_type,dance_style
American,Tap dancing
American,Stepping
American,Jazz dance
American,Moonwalk (Michael Jackson style)
Belly dance,Raqs Sharqi
Belly dance,Turkish belly dance
Belly dance,Oriental fusion
Belly dance,Tribal belly dance
Belly dance,American Tribal Style
Belly dance,Saidi
Belly dance,Kawleeya
Belly dance,Khaleeji
Belly dance,Baladi
Belly dance,Romani dance
Folk dance,Dabkeh
Classical dance,Bharatanatyam
Classical dance,Odissi
Ceremonial dance,Haka
Ceremonial dance,Kagura
Ceremonial dance,Cham dance
Ceremonial dance,Drametse Ngacham
Ceremonial dance,Rejang dance
Ceremonial dance,Sanghyang
Ceremonial dance,Sufi whirling
Disco Soul dance,Hustle
Disco Soul dance,Waacking
Disco Soul dance,Electric Boogaloo
Free and improvised dance,Contact improvisation
Free and improvised dance,Ecstatic dance
Free and improvised dance,Fusion dance
Free and improvised dance,Interpretive dance
Free and improvised dance,Modern dance
Historical dance,Ballet
Historical dance,Baroque dance
Historical dance,Medieval dance
Historical dance,Regency dance
Historical dance,Renaissance dance
Latin dance / Rhythm,American Rhythm
Latin dance / Rhythm,Bolero
Latin dance / Rhythm,East Coast Swing
Latin dance / Rhythm,Mambo
Latin dance / Rhythm,Rumba
Latin dance / Rhythm,Bachata
Latin dance / Rhythm,Cha Cha
Latin dance / Rhythm,Cumbia
Latin dance / Rhythm,Duranguense
Latin dance / Rhythm,Forró
Latin dance / Rhythm,International Latin
Latin dance / Rhythm,Argentine tango
Latin dance / Rhythm,Capoeira
Latin dance / Rhythm,Maculelê
Latin dance / Rhythm,Danza
Latin dance / Rhythm,Jive
Latin dance / Rhythm,Merengue
Latin dance / Rhythm,Milonga
Latin dance / Rhythm,Perreo
Latin dance / Rhythm,Rueda de Casino
Latin dance / Rhythm,Salsa
Latin dance / Rhythm,Samba (ballroom)
Latin dance / Rhythm,Samba (Brazilian)
Latin dance / Rhythm,Samba de Gafieira
Latin dance / Rhythm,Zouk
Latin dance / Rhythm,Lambada
Latin dance / Rhythm,Pasodoble
Latin dance / Rhythm,Quebradita
Latin dance / Rhythm,Samba de roda
Latin dance / Rhythm,Samba enredo
Latin dance / Rhythm,Tejano dance
Latin dance / Rhythm,Zapateado (Mexico)
Latin dance / Rhythm,Zapateado (Spain)
Novelty and fad dances,Bunny hop
Novelty and fad dances,Conga line
Novelty and fad dances,Frug
Novelty and fad dances,Go-go dance
Novelty and fad dances,Jitterbug
Novelty and fad dances,Madison
Novelty and fad dances,Turkey trot
Novelty and fad dances,Twist
Social dance,Country dance
Social dance,Circle dance
Social dance,Line dance
Social dance,Round dance
Social dance,Square dance
Social dance,Slow dance
Street dance / Electronic dance,Hip-hop dance
Street dance / Electronic dance,Breaking
Street dance / Electronic dance,Electric Boogaloo
Street dance / Electronic dance,Gangsta Walking
Street dance / Electronic dance,Harlem shake
Street dance / Electronic dance,Jerkin
Street dance / Electronic dance,Locking
Street dance / Electronic dance,Popping
Street dance / Electronic dance,Turfing
Street dance / Electronic dance,Uprock
Street dance / Electronic dance,Tutting
Street dance / Electronic dance,House dance
Street dance / Electronic dance,Footwork
Street dance / Electronic dance,Vogue
Street dance / Electronic dance,Electro dance
Street dance / Electronic dance,Flexing
Street dance / Electronic dance,Jumpstyle
Street dance / Electronic dance,Krumping
Street dance / Electronic dance,Litefeet
Street dance / Electronic dance,Lyrical hip-hop
Swing dance,Balboa
Swing dance,Big Apple
Swing dance,Black Bottom
Swing dance,Blues dance
Swing dance,Boogie-woogie
Swing dance,Breakaway
Swing dance,Bugg
Swing dance,Carolina Shag
Swing dance,Charleston
Swing dance,Collegiate Shag
Swing dance,East Coast Swing
Swing dance,Hand dancing
Swing dance,Hand Jive
Swing dance,Jitterbug
Swing dance,Jive
Swing dance,Leroc
Swing dance,Lindy Hop
Swing dance,Modern Jive
Swing dance,Rock and Roll
Swing dance,Single Swing
Swing dance,Skip Jive
Swing dance,St. Louis Shag
Swing dance,West Coast Swing
Swing dance,Western Swing
Other,Rhythmic Gymnastics
Other,Acrobatic dance
Other,Bhangra
Other,Bollywood dance
Other,Contemporary dance
Other,Fire dance
Other,Flamenco
Other,Ice Dance
Other,Liturgical dance
Other,Lyrical dance
Other,Pole dance
Other,Vintage dance
























































































































































































































































































