dance_style,dance_type,search_query,video_id,video_url,title,description,channel,published_at,view_count,like_count,comment_count,duration,num_comments_retrieved,comment_sentiment,comment_sentiment_avg_compound,comment_sentiment_comment_count
Tap dancing,American,American Tap dancing tutorial,LH_EyxsupRE,https://www.youtube.com/watch?v=LH_EyxsupRE,How to TAP DANCE - Beginner Tutorial,How to TAP DANCE - Get your tap journey off to a flying start with the 2 most important tap steps for any beginner... Find out more ...,Taptopia,2016-04-19T10:52:47Z,2978419,52436,1780,PT8M18S,10,positive,0.7,20.0
Tap dancing,American,American Tap dancing tutorial,HZruz8wO0g8,https://www.youtube.com/watch?v=HZruz8wO0g8,TAP DANCE BASICS - 5 Steps EVERY Beginner should Master,In this video you will learn how to do 5 basic tap dance steps that are the foundational elements of the style. You will also learn ...,The Dance Prof,2018-03-11T00:00:01Z,425730,11928,289,PT9M31S,10,positive,0.9,10.0
Stepping,American,American Stepping tutorial,OSa4tPmduk8,https://www.youtube.com/watch?v=OSa4tPmduk8,Let Us Show You How .... Chicago Style Stepping ... Effortless Steps,,Effortless Style Stepping,2015-01-20T21:22:43Z,1922313,18461,632,PT4M10S,10,positive,0.9,10.0
Stepping,American,American Stepping tutorial,LH_EyxsupRE,https://www.youtube.com/watch?v=LH_EyxsupRE,How to TAP DANCE - Beginner Tutorial,How to TAP DANCE - Get your tap journey off to a flying start with the 2 most important tap steps for any beginner... Find out more ...,Taptopia,2016-04-19T10:52:47Z,2978419,52436,1780,PT8M18S,10,positive,0.7,20.0
Jazz dance,American,American Jazz dance tutorial,dX7Tz_VBfK0,https://www.youtube.com/watch?v=dX7Tz_VBfK0,10 Basic Jazz Dance Moves,10 basic jazz dance moves! This list style video quickly walks you through beginner jazz moves in an easy to learn way ...,BodyKinect by Kendall,2021-03-25T00:28:06Z,767122,14194,109,PT4M57S,10,positive,0.8,10.0
Jazz dance,American,American Jazz dance tutorial,B-8kxNao4aw,https://www.youtube.com/watch?v=B-8kxNao4aw,Solo Jazz warm-up dance to Honeysuckle Rose,Follow me and let's move together for a bit. This is a warm-up dance you can do before your practice or just groove together to ...,Solo Jazz Power,2022-02-03T12:09:01Z,89488,3341,60,PT4M9S,10,positive,1.0,10.0
Moonwalk (Michael Jackson style),American,American Moonwalk (Michael Jackson style) tutorial,QGm6v9-1ZBU,https://www.youtube.com/watch?v=QGm6v9-1ZBU,How to Moonwalk (Dance Moves Tutorial) | Mihran Kirakosian,Dance moves tutorial for how to moonwalk. If you enjoy our content and would like to support us and make a donation: Venmo: ...,MihranTV,2017-02-01T21:00:32Z,14174585,226557,6460,PT6M55S,10,positive,0.4,10.0
Moonwalk (Michael Jackson style),American,American Moonwalk (Michael Jackson style) tutorial,ozagJ6DYDUA,https://www.youtube.com/watch?v=ozagJ6DYDUA,How To Moonwalk For Beginners (Michael Jackson Dance Move) | Dance Tutorial #26 | Learn How To Dance,Even though we're in 2021 the moonwalk is still one of the greatest dance moves of all time! Michael Jackson is a true legend!,Learn How To Dance,2018-12-05T12:44:14Z,824303,12436,975,PT11M21S,10,positive,0.6,10.0
Raqs Sharqi,Belly dance,Belly dance Raqs Sharqi tutorial,C9_u5Eg5ClI,https://www.youtube.com/watch?v=C9_u5Eg5ClI,Raqs Sharqi Belly Roll Combination,We recently did belly rolls and it's getting so much love that I thought it'd be fun to do another video on them! Have fun working this ...,"Samantha Karim, The Inner Dancer",2021-04-30T20:20:29Z,1926,55,7,PT11M54S,4,positive,1.0,4.0
Raqs Sharqi,Belly dance,Belly dance Raqs Sharqi tutorial,6ur6ge5fvk0,https://www.youtube.com/watch?v=6ur6ge5fvk0,Belly Dance Tutorial For Beginners!! Lesson 1 | Posture and Chest Circles | Dance with Meher Malik,"Learn the Basics of Belly Dancing with Meher Malik. In this lesson, Meher will show you the correct belly dancing posture and a ...",Studio Banjara,2018-03-20T10:21:50Z,4696859,106786,1970,PT8M24S,10,neutral,0.2,30.0
Turkish belly dance,Belly dance,Belly dance Turkish belly dance tutorial,QjKxF8kDB6w,https://www.youtube.com/watch?v=QjKxF8kDB6w,DO THIS AND BOOST YOUR BELLY DANCE | TURKISH HIP TWISTS | BIG HAIR FLICKS | SIDE ABDOMINAL WORK OUT,DO THIS AND BOOST YOUR BELLY DANCE | TURKISH HIP TWISTS | BIG HAIR FLICKS | SIDE ABDOMINAL WORK OUT ...,Melissa BellyDance,2021-07-25T11:00:10Z,2764,132,10,PT12M35S,8,positive,0.875,8.0
Turkish belly dance,Belly dance,Belly dance Turkish belly dance tutorial,otMQA34jxUA,https://www.youtube.com/watch?v=otMQA34jxUA,🔴LEARN TURKISH SHIMMY ♥️ ATS BELLYDANCE,"This is a fun step of the shimmy family, let's level up and add more flavor into our dance❤️‍  . CHECK OUT THE FULL ...",Black Cat BellyDance Studio,2025-01-24T13:00:06Z,1581,32,0,PT12M32S,0,,,
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,8XGIRLwcw4o,https://www.youtube.com/watch?v=8XGIRLwcw4o,&quot;Justice&quot; – Sword Belly Dance by Irina Akulenko | Learn it → at WorldDanceNewYork.com,Study belly dance with Irina at https://worlddancenewyork.com/collections/beginners ✓ Watch on any device — anywhere in the ...,World Dance New York,2010-01-26T23:18:54Z,12882897,275308,4991,PT5M22S,10,positive,0.6,30.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,zgJb_KB_h7k,https://www.youtube.com/watch?v=zgJb_KB_h7k,Unlock Your Inner Goddess: 15-Minute Tribal Fusion Belly Dance Class for Flexibility &amp; Femininity,"Just 15 minutes to shift your energy, to feel strong, fluid, and alive. This isn't just movement — it's transformation. A step into your ...",Ethel AnimA,2025-10-24T11:00:06Z,2402,134,13,PT14M44S,8,positive,1.0,21.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,wWL9aFwjpiY,https://www.youtube.com/watch?v=wWL9aFwjpiY,Global Fusion IG Challenge / Day 1 lesson by Olga Meos / Tribal Fusion Belly Dance class,bellydanceforbeginner #трайблурок #olgameos #bellydance #online #dancing #tribal #fusionbellydance ...,TribalPro,2022-01-22T07:55:26Z,62352,2978,100,PT19M5S,10,positive,1.0,20.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,IsULEioyvOU,https://www.youtube.com/watch?v=IsULEioyvOU,TRIBAL FUSION belly dance tutorial 🕉️ LAYERING para principiantes (2 CAPAS),Si te gusta la danza oriental no te pierdas éste vídeo tutorial de tribal fusión belly dance. En ésta clase de fusion tribal tenemos un ...,unComo,2022-06-30T17:30:03Z,7175,381,11,PT6M33S,10,positive,1.0,30.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,tB8aS-2eURo,https://www.youtube.com/watch?v=tB8aS-2eURo,Belly Dance - Indian Odissi fusion by Irina Akulenko | Full How-to Program → WorldDanceNewYork.com,Get the full HOW-TO program ...,World Dance New York,2015-11-10T02:08:53Z,170336,3467,87,PT4M7S,10,positive,1.0,10.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,ldLdGW_o6uQ,https://www.youtube.com/watch?v=ldLdGW_o6uQ,Myriam Fares  - &quot;Haklak Rahtak&quot; | Fusion Bellydance | @JBELLYBURN,"JBelly's School of RAQ: Bellydance - REGISTER today at https://www.janelleissis.com Hi Beauty, I (Janelle) offer weekly classes ...",Janelle Jalila Issis,2019-04-08T05:22:38Z,4193685,48156,557,PT4M44S,10,positive,0.9,10.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,osVOMGxgLF0,https://www.youtube.com/watch?v=osVOMGxgLF0,The secret for PERFECT SHIMMY | Fusion Bellydance with Lamia Barbara,Hello dear dancer and welcome back for another A Cup of Tea with yours truly! ✨ Today I'd like to share with you my secret for the ...,Lamia Barbara,2021-01-26T18:20:19Z,516,43,5,PT5M49S,3,positive,1.0,3.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,XWDRdJ6O4cY,https://www.youtube.com/watch?v=XWDRdJ6O4cY,Habibi Lal (Kira Lebedeva) @ TRIBAL BEAT FEST 2016,,Kira Lebedeva,2016-05-23T14:45:40Z,7911894,132055,3424,PT4M24S,10,positive,1.0,20.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,Hz6D4pq4m_U,https://www.youtube.com/watch?v=Hz6D4pq4m_U,20 min | Awaken Your Feminine Energy! | Belly Dance Feminine Flow Workout 💕,Ready to experience the joy of belly dance fitness? Let's move! ❤️‍   GET THE APP & PLATFORM: BellyFitbyLeilah.com ...,BellyFIT by Leilah,2025-03-15T00:00:22Z,202907,8079,93,PT19M50S,10,positive,0.8,20.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,OVG7cDr6IFE,https://www.youtube.com/watch?v=OVG7cDr6IFE,BELLYDANCE BASICS| Hip Lift Tutorial for Beginners,Hello dancers! Welcome to this video where we cover a fundamental Bellydance movement - the hip lift! We will begin with a ...,Lilly Sim,2022-03-30T22:21:57Z,5322,186,14,PT14M10S,10,positive,0.7,10.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,lcoJd9p6NMM,https://www.youtube.com/watch?v=lcoJd9p6NMM,&quot;Call of the Amazon Warrior&quot; – Belly Dance by Irina Akulenko | WorldDanceNewYork.com,Study belly dance with Irina at https://worlddancenewyork.com/collections/beginners ✓ Watch on any device — anywhere in the ...,World Dance New York,2019-06-13T17:04:38Z,948869,28130,476,PT5M19S,10,positive,1.0,20.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,e9upPg1m7i0,https://www.youtube.com/watch?v=e9upPg1m7i0,"Fusion Belly Dance tutorial - Beginner&#39;s level - Learn to dance anywhere anytime, full choreography","This is a beginner Intermediate belly dance tutorial. In this tutorial, we explore belly dance technique specifically: floreos, traveling ...",TribalMaker by Michalle Malev,2021-05-25T14:00:33Z,457,19,9,PT15M12S,4,positive,1.0,4.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,UdQshRbiX0Q,https://www.youtube.com/watch?v=UdQshRbiX0Q,Anastasia Minashkina (Soqotra) - TribalFusion,"Hello! Love this video? Meet Anastasia Minashkina (Soqotra) today 19.04 at 16:15MSK with special class ""Steps in Tribal Fusion: ...",Tribal Mafia Online School,2016-04-18T08:28:18Z,2250846,69161,1297,PT5M49S,10,positive,0.7,10.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,_Ne4v9xW-So,https://www.youtube.com/watch?v=_Ne4v9xW-So,The Overshimmy: Belly Dance Tutorial with Rachel Brice,"The Overshimmy is an awesome shimmy for traveling, and combines two other belly dance moves: the Maya and the 3/4 Shimmy!",Datura Online,2019-12-07T15:00:13Z,78590,2893,26,PT4M22S,10,positive,0.9,20.0
